,test_image,response,resptime,proband,rotation,image,category,sigma
224,portrait_1_7.jpeg,2,2.507998,Louis,False,portrait_1,portrait,7
225,portrait_4_7.jpeg,1,1.337753,Louis,False,portrait_4,portrait,7
226,nature_6_20.jpeg,4,2.64227,Louis,False,nature_6,nature,20
227,art_4_r.jpeg,4,2.042385,Louis,True,art_4,art,original
228,nature_10_12.jpeg,3,3.662856,Louis,False,nature_10,nature,12
229,nature_5.jpeg,5,4.831265,Louis,False,nature_5,nature,original
230,art_2_4.jpeg,1,2.378499,Louis,False,art_2,art,4
231,portrait_7_r_7.jpeg,1,3.767546,Louis,True,portrait_7,portrait,7
232,art_6_4.jpeg,1,1.389426,Louis,False,art_6,art,4
233,art_8_12.jpeg,2,1.516491,Louis,False,art_8,art,12
234,nautre_8_20.jpeg,4,5.631652,Louis,False,nautre_8,nautre,20
235,nature_4_12.jpeg,4,4.078067,Louis,False,nature_4,nature,12
236,nature_6.jpeg,5,2.305963,Louis,False,nature_6,nature,original
237,portrait_3.jpeg,5,3.253864,Louis,False,portrait_3,portrait,original
238,portrait_8.jpeg,5,1.311217,Louis,False,portrait_8,portrait,original
239,art_10_r_4.jpeg,1,1.136258,Louis,True,art_10,art,4
240,nautre_8_r_7.jpeg,2,1.598531,Louis,True,nautre_8,nautre,7
241,art_7.jpeg,5,1.475642,Louis,False,art_7,art,original
242,art_6_r_4.jpeg,2,2.764835,Louis,True,art_6,art,4
243,portrait_3_7.jpeg,1,2.289008,Louis,False,portrait_3,portrait,7
244,art_2_r_12.jpeg,5,4.856611,Louis,True,art_2,art,12
245,nature_5_4.jpeg,1,1.190026,Louis,False,nature_5,nature,4
246,nature_7_r_4.jpeg,1,1.048866,Louis,True,nature_7,nature,4
247,portrait_5_r_20.jpeg,4,2.185884,Louis,True,portrait_5,portrait,20
248,nature_3_r_7.jpeg,2,2.338455,Louis,True,nature_3,nature,7
249,portrait_6_r_20.jpeg,5,3.625679,Louis,True,portrait_6,portrait,20
250,portrait_7_r.jpeg,5,0.9593,Louis,True,portrait_7,portrait,original
251,nature_4_r_7.jpeg,4,3.874185,Louis,True,nature_4,nature,7
252,nature_10_r_4.jpeg,1,1.298359,Louis,True,nature_10,nature,4
253,art_8_r_12.jpeg,1,1.651593,Louis,True,art_8,art,12
254,portrait_10_r_4.jpeg,1,0.737307,Louis,True,portrait_10,portrait,4
255,art_2_20.jpeg,3,4.142188,Louis,False,art_2,art,20
256,portrait_5_12.jpeg,2,2.240325,Louis,False,portrait_5,portrait,12
257,portrait_4_r_7.jpeg,1,0.843482,Louis,True,portrait_4,portrait,7
258,portrait_3_r.jpeg,5,1.308285,Louis,True,portrait_3,portrait,original
259,art_9_4.jpeg,1,2.123471,Louis,False,art_9,art,4
260,portrait_8_r.jpeg,5,1.377448,Louis,True,portrait_8,portrait,original
261,art_10.jpeg,3,3.792333,Louis,False,art_10,art,original
262,portrait_1_r_12.jpeg,5,1.215233,Louis,True,portrait_1,portrait,12
263,art_1_20.jpeg,5,6.718443,Louis,False,art_1,art,20
264,art_3_r_12.jpeg,2,2.403492,Louis,True,art_3,art,12
265,portrait_4_r.jpeg,4,2.352965,Louis,True,portrait_4,portrait,original
266,portrait_1_r_7.jpeg,2,1.213002,Louis,True,portrait_1,portrait,7
267,art_10_r_7.jpeg,1,5.49081,Louis,True,art_10,art,7
268,art_5_12.jpeg,1,0.898776,Louis,False,art_5,art,12
269,portrait_9_12.jpeg,2,1.846419,Louis,False,portrait_9,portrait,12
270,art_9_r_20.jpeg,4,2.10772,Louis,True,art_9,art,20
271,portrait_7_12.jpeg,2,1.271518,Louis,False,portrait_7,portrait,12
272,portrait_5_r_12.jpeg,2,1.944128,Louis,True,portrait_5,portrait,12
273,art_5_r_7.jpeg,2,2.003023,Louis,True,art_5,art,7
274,portrait_6_7.jpeg,1,1.07899,Louis,False,portrait_6,portrait,7
275,art_6_r.jpeg,3,4.117153,Louis,True,art_6,art,original
276,portrait_4_4.jpeg,1,1.159929,Louis,False,portrait_4,portrait,4
277,portrait_9.jpeg,4,4.90285,Louis,False,portrait_9,portrait,original
278,nature_6_12.jpeg,2,1.745058,Louis,False,nature_6,nature,12
279,nature_2_12.jpeg,1,1.262853,Louis,False,nature_2,nature,12
280,art_8_7.jpeg,2,1.129773,Louis,False,art_8,art,7
281,nature_10_20.jpeg,4,1.833792,Louis,False,nature_10,nature,20
282,art_2_12.jpeg,3,2.49801,Louis,False,art_2,art,12
283,nature_4.jpeg,4,1.383799,Louis,False,nature_4,nature,original
284,portrait_8_r_4.jpeg,1,2.06456,Louis,True,portrait_8,portrait,4
285,art_9_7.jpeg,1,1.428814,Louis,False,art_9,art,7
286,portrait_7_20.jpeg,3,3.626085,Louis,False,portrait_7,portrait,20
287,nature_5_20.jpeg,2,1.856652,Louis,False,nature_5,nature,20
288,art_6_12.jpeg,2,1.89505,Louis,False,art_6,art,12
289,portrait_8_r_12.jpeg,2,1.966622,Louis,True,portrait_8,portrait,12
290,nautre_8.jpeg,3,1.423761,Louis,False,nautre_8,nautre,original
291,nature_6_r_12.jpeg,2,2.867631,Louis,True,nature_6,nature,12
292,nature_4_r.jpeg,3,2.60975,Louis,True,nature_4,nature,original
293,portrait_5_r_7.jpeg,1,1.751847,Louis,True,portrait_5,portrait,7
294,portrait_1.jpeg,5,2.565302,Louis,False,portrait_1,portrait,original
295,art_4_20.jpeg,4,3.437327,Louis,False,art_4,art,20
296,portrait_9_7.jpeg,1,1.586985,Louis,False,portrait_9,portrait,7
297,nature_6_r_7.jpeg,1,1.002281,Louis,True,nature_6,nature,7
298,nature_7_r_20.jpeg,5,6.619707,Louis,True,nature_7,nature,20
299,nature_4_r_12.jpeg,4,1.375709,Louis,True,nature_4,nature,12
0,nature_3_r.jpeg,3,11.625858,david,True,nature_3,nature,original
1,portrait_9_4.jpeg,1,2.923329,david,False,portrait_9,portrait,4
2,art_6_20.jpeg,3,2.622191,david,False,art_6,art,20
3,art_9_12.jpeg,2,2.62999,david,False,art_9,art,12
4,nature_10_7.jpeg,2,2.831312,david,False,nature_10,nature,7
5,nautre_9_r.jpeg,3,1.492401,david,True,nautre_9,nautre,original
6,art_5.jpeg,4,5.104818,david,False,art_5,art,original
7,nature_2_7.jpeg,2,1.599911,david,False,nature_2,nature,7
8,portrait_4_r_4.jpeg,1,1.162956,david,True,portrait_4,portrait,4
9,nautre_8_7.jpeg,3,1.797694,david,False,nautre_8,nautre,7
10,nature_3.jpeg,4,2.894465,david,False,nature_3,nature,original
11,portrait_8_4.jpeg,2,1.351465,david,False,portrait_8,portrait,4
12,nature_2_r_20.jpeg,3,2.651892,david,True,nature_2,nature,20
13,nautre_9_r_20.jpeg,3,2.699183,david,True,nautre_9,nautre,20
14,art_9_r_7.jpeg,2,1.193164,david,True,art_9,art,7
15,portrait_3_r_12.jpeg,3,2.959494,david,True,portrait_3,portrait,12
16,portrait_1_12.jpeg,3,1.634512,david,False,portrait_1,portrait,12
17,portrait_2_4.jpeg,2,1.001981,david,False,portrait_2,portrait,4
18,portrait_6_r_7.jpeg,2,1.079321,david,True,portrait_6,portrait,7
19,art_3_r_7.jpeg,1,1.574267,david,True,art_3,art,7
20,nature_1_r_20.jpeg,2,2.163666,david,True,nature_1,nature,20
21,nautre_8_r_20.jpeg,3,1.327248,david,True,nautre_8,nautre,20
22,portrait_2_7.jpeg,5,4.408395,david,False,portrait_2,portrait,7
23,portrait_9_r_20.jpeg,3,7.94793,david,True,portrait_9,portrait,20
24,nature_1_r_12.jpeg,4,1.398013,david,True,nature_1,nature,12
25,art_9_20.jpeg,4,1.391553,david,False,art_9,art,20
26,nature_2_4.jpeg,2,1.087863,david,False,nature_2,nature,4
27,portrait_10_7.jpeg,3,1.299144,david,False,portrait_10,portrait,7
28,portrait_1_20.jpeg,4,1.332227,david,False,portrait_1,portrait,20
29,art_7_12.jpeg,4,1.605969,david,False,art_7,art,12
